clip,frame,player,camera,joint,joint_id,residual_px,vis,obs_px,obs_inside,tea_px,tea_inside,tea_infront,hip_vis_L,hip_vis_R,teacher_source,teacher_weight,slcs_weight,player_conf
video_001/clip_001,171,1,cam2,right_knee,14,590.1914970518338,0.78125,"[11.9, 897.4]",True,"[-502.4, 1187.0]",False,True,0.0,0.0,1,1.0,0.48261335492134094,0.48261335784313725
video_001/clip_001,176,1,cam2,right_elbow,8,589.5586717543875,0.36328125,"[3.4, 910.9]",True,"[-584.7, 952.1]",False,True,0.0,0.0,1,1.0,0.44154030084609985,0.44154028799019607
video_001/clip_001,279,1,cam2,right_ankle,16,589.1557052870071,0.66015625,"[1.2, 988.3]",True,"[-515.4, 1271.6]",False,True,0.0,0.0,1,1.0,0.5778952240943909,0.5778952205882353
video_001/clip_001,277,1,cam2,right_ankle,16,587.9436542998649,0.6875,"[1.5, 988.2]",True,"[-514.5, 1270.0]",False,True,0.0,0.0,1,1.0,0.5737400650978088,0.5737400428921569
video_001/clip_001,171,1,cam2,right_wrist,10,587.8067066578329,0.6015625,"[71.7, 979.0]",True,"[-516.1, 983.4]",False,True,0.0,0.0,1,1.0,0.48261335492134094,0.48261335784313725
video_001/clip_001,178,1,cam2,right_elbow,8,585.9976246550322,0.45703125,"[3.8, 921.9]",True,"[-581.8, 944.8]",False,True,0.0,0.0,1,1.0,0.4084711968898773,0.40847120098039214
video_001/clip_001,177,1,cam2,right_knee,14,585.2482371992786,0.498046875,"[2.0, 913.3]",True,"[-514.0, 1189.5]",False,True,0.0,0.0,1,1.0,0.4482230246067047,0.4482230392156863
video_000/clip_009,430,1,cam2,right_wrist,10,584.0106938371035,0.578125,"[32.8, 876.2]",True,"[-550.9, 895.4]",False,True,0.0,0.0,1,1.0,0.4716222286224365,0.4716222426470588
video_001/clip_001,280,1,cam2,right_ankle,16,583.1288663947073,0.67578125,"[1.8, 988.5]",True,"[-510.3, 1267.4]",False,True,0.0,0.0,1,1.0,0.5813419222831726,0.5813419117647058
video_001/clip_001,284,1,cam2,right_elbow,8,581.8824048349746,0.75390625,"[2.5, 757.1]",True,"[-536.4, 976.5]",False,True,0.0,0.0,1,1.0,0.5813227891921997,0.5813227634803921
