domain,domain_display_name,model,metric_group,metric,subkey,value,count
real_validation,real_validation,ours,per_channel,near_service_left,pck,0.005=0.975; 0.01=1; 0.02=1; 0.05=1,120
real_validation,real_validation,ours,per_channel,near_service_left,pair_error_px.mean,2.81142,120
real_validation,real_validation,ours,per_channel,near_service_right,pck,0.005=0.991667; 0.01=1; 0.02=1; 0.05=1,120
real_validation,real_validation,ours,per_channel,near_service_right,pair_error_px.mean,2.99408,120
real_validation,real_validation,ours,per_channel,far_service_t,pck,0.005=0.991667; 0.01=1; 0.02=1; 0.05=1,120
real_validation,real_validation,ours,per_channel,far_service_t,pair_error_px.mean,3.24164,120
real_validation,real_validation,ours,per_channel,near_service_t,pck,0.005=0.975; 0.01=1; 0.02=1; 0.05=1,120
real_validation,real_validation,ours,per_channel,near_service_t,pair_error_px.mean,3.19369,120
real_validation,real_validation,tcd,keypoints,completeness,,0.995218,
real_validation,real_validation,tcd,keypoints,ground_truth_visible_keypoints,,1673,
real_validation,real_validation,tcd,keypoints,pair_error_diagonal,count,1665,1665
real_validation,real_validation,tcd,keypoints,pair_error_diagonal,mean,0.00252864,1665
real_validation,real_validation,tcd,keypoints,pair_error_diagonal,median,0.00204276,1665
real_validation,real_validation,tcd,keypoints,pair_error_diagonal,q90,0.00433861,1665
real_validation,real_validation,tcd,keypoints,pair_error_px,count,1665,1665
real_validation,real_validation,tcd,keypoints,pair_error_px,mean,3.71357,1665
real_validation,real_validation,tcd,keypoints,pair_error_px,median,3,1665
real_validation,real_validation,tcd,keypoints,pair_error_px,q90,6.3717,1665
real_validation,real_validation,tcd,keypoints,pck,0.005,0.927077,
real_validation,real_validation,tcd,keypoints,pck,0.01,0.977884,
real_validation,real_validation,tcd,keypoints,pck,0.02,0.99223,
real_validation,real_validation,tcd,keypoints,pck,0.05,0.995218,
real_validation,real_validation,tcd,keypoints,predicted_valid_keypoints_among_visible,,1665,
real_validation,real_validation,tcd,keypoints,sample_count,,120,
real_validation,real_validation,tcd,alignment,doubles_polygon_iou,count,119,119
real_validation,real_validation,tcd,alignment,doubles_polygon_iou,mean,0.985767,119
real_validation,real_validation,tcd,alignment,doubles_polygon_iou,median,0.987279,119
real_validation,real_validation,tcd,alignment,doubles_polygon_iou,q90,0.99204,119
real_validation,real_validation,tcd,alignment,ground_truth_homography_success,,120,
real_validation,real_validation,tcd,alignment,line_reprojection_diagonal,count,120,120
