split,group_type,group,condition,baseline_player_position_error_m,augmented_player_position_error_m,augmented_minus_baseline_player_position_error_m,baseline_ball_position_error_m,augmented_ball_position_error_m,augmented_minus_baseline_ball_position_error_m,baseline_player_angular_error_deg,augmented_player_angular_error_deg,augmented_minus_baseline_player_angular_error_deg
val,all,all,full,2.571880578994751,2.669083833694458,0.09720325469970703,7.02938175201416,7.030832767486572,0.0014510154724121094,43.872947692871094,45.82729721069336,1.9543495178222656
val,all,all,no_rgb,2.873530387878418,2.823474168777466,-0.05005621910095215,7.013044357299805,7.0195231437683105,0.006478786468505859,56.573673248291016,47.43182373046875,-9.141849517822266
val,all,all,detector_gap,3.0093183517456055,2.880582571029663,-0.12873578071594238,7.022319793701172,7.026538848876953,0.00421905517578125,49.24721908569336,46.047821044921875,-3.1993980407714844
val,all,all,rgb_only,4.152010917663574,3.363882303237915,-0.7881286144256592,7.021568298339844,7.018841743469238,-0.0027265548706054688,50.54702377319336,45.55490493774414,-4.992118835449219
val,video,broadcast_indoor_hard,full,2.262535333633423,2.264937162399292,0.0024018287658691406,6.09228515625,6.102476119995117,0.010190963745117188,29.635801315307617,36.57075119018555,6.93494987487793
val,video,broadcast_indoor_hard,no_rgb,2.790430784225464,2.3145837783813477,-0.4758470058441162,6.087255001068115,6.10336446762085,0.016109466552734375,80.92938995361328,42.02301788330078,-38.9063720703125
val,video,broadcast_indoor_hard,detector_gap,2.5330657958984375,2.5485994815826416,0.015533685684204102,6.104867458343506,6.105342388153076,0.0004749298095703125,46.77840042114258,38.15702438354492,-8.621376037597656
val,video,broadcast_indoor_hard,rgb_only,3.395665407180786,3.3979413509368896,0.0022759437561035156,6.122050762176514,6.1129913330078125,-0.009059429168701172,42.49826431274414,37.47628402709961,-5.021980285644531
val,video,video_001,full,2.6756677627563477,2.8046774864196777,0.12900972366333008,7.324697971343994,7.323394775390625,-0.0013031959533691406,48.64958953857422,48.932918548583984,0.2833290100097656
val,video,video_001,no_rgb,2.9014108180999756,2.9942102432250977,0.09279942512512207,7.304798126220703,7.30824089050293,0.0034427642822265625,48.40217208862305,49.24651336669922,0.8443412780761719
val,video,video_001,detector_gap,3.1691036224365234,2.9919650554656982,-0.1771385669708252,7.311446189880371,7.316845417022705,0.005399227142333984,50.07552719116211,48.69523239135742,-1.3802947998046875
val,video,video_001,rgb_only,4.405769348144531,3.3524553775787354,-1.053313970565796,7.305042266845703,7.304311752319336,-0.0007305145263671875,53.2474365234375,48.26532745361328,-4.982109069824219
val,domain,broadcast,full,2.262535333633423,2.264937162399292,0.0024018287658691406,6.09228515625,6.102476119995117,0.010190963745117188,29.635801315307617,36.57075119018555,6.93494987487793
val,domain,broadcast,no_rgb,2.790430784225464,2.3145837783813477,-0.4758470058441162,6.087255001068115,6.10336446762085,0.016109466552734375,80.92938995361328,42.02301788330078,-38.9063720703125
val,domain,broadcast,detector_gap,2.5330657958984375,2.5485994815826416,0.015533685684204102,6.104867458343506,6.105342388153076,0.0004749298095703125,46.77840042114258,38.15702438354492,-8.621376037597656
val,domain,broadcast,rgb_only,3.395665407180786,3.3979413509368896,0.0022759437561035156,6.122050762176514,6.1129913330078125,-0.009059429168701172,42.49826431274414,37.47628402709961,-5.021980285644531
val,domain,meiji,full,2.6756677627563477,2.8046774864196777,0.12900972366333008,7.324697971343994,7.323394775390625,-0.0013031959533691406,48.64958953857422,48.932918548583984,0.2833290100097656
val,domain,meiji,no_rgb,2.9014108180999756,2.9942102432250977,0.09279942512512207,7.304798126220703,7.30824089050293,0.0034427642822265625,48.40217208862305,49.24651336669922,0.8443412780761719
val,domain,meiji,detector_gap,3.1691036224365234,2.9919650554656982,-0.1771385669708252,7.311446189880371,7.316845417022705,0.005399227142333984,50.07552719116211,48.69523239135742,-1.3802947998046875
val,domain,meiji,rgb_only,4.405769348144531,3.3524553775787354,-1.053313970565796,7.305042266845703,7.304311752319336,-0.0007305145263671875,53.2474365234375,48.26532745361328,-4.982109069824219
test,all,all,full,2.821348190307617,2.863278388977051,0.041930198669433594,5.586698055267334,5.5149245262146,-0.07177352905273438,38.81786346435547,47.48822784423828,8.670364379882812
test,all,all,no_rgb,3.611276388168335,2.9235401153564453,-0.6877362728118896,5.62885856628418,5.56441068649292,-0.06444787979125977,84.11768341064453,50.6858024597168,-33.431880950927734
test,all,all,detector_gap,3.548280715942383,3.190944194793701,-0.35733652114868164,5.580329895019531,5.515984058380127,-0.0643458366394043,61.319889068603516,50.309234619140625,-11.01065444946289
test,all,all,rgb_only,5.144540786743164,4.028789043426514,-1.1157517433166504,5.609474182128906,5.528722286224365,-0.08075189590454102,69.09800720214844,56.186466217041016,-12.911540985107422
test,video,broadcast_eastbourne,full,2.821348190307617,2.863278388977051,0.041930198669433594,5.586698055267334,5.5149245262146,-0.07177352905273438,38.81786346435547,47.48822784423828,8.670364379882812
test,video,broadcast_eastbourne,no_rgb,3.611276388168335,2.9235401153564453,-0.6877362728118896,5.62885856628418,5.56441068649292,-0.06444787979125977,84.11768341064453,50.6858024597168,-33.431880950927734
test,video,broadcast_eastbourne,detector_gap,3.548280715942383,3.190944194793701,-0.35733652114868164,5.580329895019531,5.515984058380127,-0.0643458366394043,61.319889068603516,50.309234619140625,-11.01065444946289
